animal_type,scientific_name,average_lifespan,request_time,request_udapte_time,help_center_response_time,location,route,success
Hawk,Buteo,20,2016-04-11 22:40:13,2016-09-10 04:13:59,21-06-2016 15:09:28,Khulna,Bogra - Sariakandi Rd,no
White-tailed Eagle,Haliaeetus Albicilla,20,21-06-2016 12:09:50,2016-09-10 04:13:59,21-06-2016 13:19:50,Bogura,Uposhohor Rd,yes
Fox,Vulpes Vulpes,4,21-06-2017 12:10:08,2017-09-10 04:13:59,21-06-2017 12:30:08,Sylhet,Gohail Rd,yes
Lizard,Lacertilia,5,21-06-2017 12:10:28,2017-09-10 04:13:59,22-06-2017 12:10:28,Dhaka,Matidali - Dhorompur Rd,no
Tiger,Panthera Tigris,10,21-06-2017 19:03:48,2017-09-10 04:13:59,21-06-2017 22:40:48,Dhaka,Chondon - Baisha Rd,no
Dog,Canis Lupus Familiaris,13,2018-09-10 03:59:12,2018-09-10 04:13:59,2018-09-10 07:55:59,Chittagong,Bogra - Sariakandi Rd,no
Cat,Felis Catus,16,2018-09-10 04:06:22,2018-09-10 04:13:59,2018-09-10 05:16:22,Dhaka,Matidali - Dhorompur Rd,yes
Hawk,Buteo,20,2019-04-11 22:40:13,2019-09-10 04:13:59,21-06-2019 12:19:28,Dhaka,Chondon - Baisha Rd,yes
White-tailed Eagle,Haliaeetus Albicilla,20,21-06-2019 12:09:50,2019-09-10 04:13:59,21-06-2019 12:29:50,Dhaka,Bogra - Sariakandi Rd,yes
Fox,Vulpes Vulpes,4,21-06-2020 12:10:08,2020-09-10 04:13:59,21-06-2020 13:10:08,Dhaka,Uposhohor Rd,yes
Lizard,Lacertilia,5,21-06-2021 12:10:28,2021-09-10 04:13:59,21-06-2021 13:40:28,Chittagong,Gohail Rd,yes
Tiger,Panthera Tigris,10,21-06-2022 07:03:48,2022-09-10 04:13:59,22-06-2022 19:03:48,Chittagong,Matidali - Dhorompur Rd,no
Dog,Canis Lupus Familiaris,13,2022-09-10 03:59:12,2022-09-10 04:13:59,2022-10-10 08:43:59,Khulna,Chondon - Baisha Rd,no
